date,state,cases_new,cases_recovered,cases_active
2/29/2020,Perlis,0,0,0
2/29/2020,Pulau Pinang,0,0,0
2/29/2020,Sabah,0,0,0
2/29/2020,Sarawak,0,0,0
2/29/2020,Selangor,0,0,2
2/29/2020,Terengganu,0,0,0
2/29/2020,W.P. Kuala Lumpur,0,0,1
2/29/2020,W.P. Labuan,0,0,0
2/29/2020,W.P. Putrajaya,0,0,0
3/1/2020,Johor,0,0,0
3/1/2020,Kedah,0,0,0
3/1/2020,Kelantan,0,0,0
3/1/2020,Melaka,0,0,0
3/1/2020,Negeri Sembilan,0,0,0
3/1/2020,Pahang,0,0,0
3/1/2020,Perak,0,0,0
3/1/2020,Perlis,0,0,0
3/1/2020,Pulau Pinang,0,0,0
3/1/2020,Sabah,0,0,0
3/1/2020,Sarawak,0,0,0
3/1/2020,Selangor,4,0,6
3/1/2020,Terengganu,0,0,0
3/1/2020,W.P. Kuala Lumpur,0,0,1
3/1/2020,W.P. Labuan,0,0,0
3/1/2020,W.P. Putrajaya,0,0,0
3/2/2020,Johor,0,0,0
3/2/2020,Kedah,0,0,0
3/2/2020,Kelantan,0,0,0
3/2/2020,Melaka,0,0,0
3/2/2020,Negeri Sembilan,0,0,0
3/2/2020,Pahang,0,0,0
3/2/2020,Perak,0,0,0
3/2/2020,Perlis,0,0,0
3/2/2020,Pulau Pinang,0,0,0
3/2/2020,Sabah,0,0,0
3/2/2020,Sarawak,0,0,0
3/2/2020,Selangor,0,0,6
3/2/2020,Terengganu,0,0,0
3/2/2020,W.P. Kuala Lumpur,0,0,1
3/2/2020,W.P. Labuan,0,0,0
3/2/2020,W.P. Putrajaya,0,0,0
3/3/2020,Johor,0,0,0
3/3/2020,Kedah,0,0,0
3/3/2020,Kelantan,0,0,0
3/3/2020,Melaka,0,0,0
3/3/2020,Negeri Sembilan,0,0,0
3/3/2020,Pahang,0,0,0
3/3/2020,Perak,0,0,0
3/3/2020,Perlis,0,0,0
3/3/2020,Pulau Pinang,0,0,0
3/3/2020,Sabah,0,0,0
3/3/2020,Sarawak,0,0,0
3/3/2020,Selangor,6,0,12
3/3/2020,Terengganu,0,0,0
3/3/2020,W.P. Kuala Lumpur,0,0,1
3/3/2020,W.P. Labuan,0,0,0
3/3/2020,W.P. Putrajaya,1,0,1
3/4/2020,Johor,1,0,1
3/4/2020,Kedah,0,0,0
3/4/2020,Kelantan,0,0,0
3/4/2020,Melaka,0,0,0
3/4/2020,Negeri Sembilan,2,0,2
3/4/2020,Pahang,0,0,0
3/4/2020,Perak,0,0,0
3/4/2020,Perlis,0,0,0
3/4/2020,Pulau Pinang,0,0,0
3/4/2020,Sabah,0,0,0
3/4/2020,Sarawak,0,0,0
3/4/2020,Selangor,7,0,19
3/4/2020,Terengganu,0,0,0
3/4/2020,W.P. Kuala Lumpur,3,1,3
3/4/2020,W.P. Labuan,0,0,0
3/4/2020,W.P. Putrajaya,1,0,2
3/5/2020,Johor,0,0,1
3/5/2020,Kedah,0,0,0
3/5/2020,Kelantan,0,0,0
3/5/2020,Melaka,0,0,0
3/5/2020,Negeri Sembilan,0,0,2
3/5/2020,Pahang,0,0,0
3/5/2020,Perak,0,0,0
3/5/2020,Perlis,0,0,0
3/5/2020,Pulau Pinang,0,0,0
3/5/2020,Sabah,0,0,0
3/5/2020,Sarawak,0,0,0
3/5/2020,Selangor,4,0,23
3/5/2020,Terengganu,0,0,0
3/5/2020,W.P. Kuala Lumpur,1,0,4
3/5/2020,W.P. Labuan,0,0,0
3/5/2020,W.P. Putrajaya,0,0,2
3/6/2020,Johor,1,0,2
3/6/2020,Kedah,0,0,0
3/6/2020,Kelantan,0,0,0
3/6/2020,Melaka,0,0,0
3/6/2020,Negeri Sembilan,0,0,2
3/6/2020,Pahang,0,0,0
3/6/2020,Perak,0,0,0
3/6/2020,Perlis,0,0,0
3/6/2020,Pulau Pinang,1,0,1
3/6/2020,Sabah,0,0,0
3/6/2020,Sarawak,0,0,0
3/6/2020,Selangor,21,0,44
3/6/2020,Terengganu,0,0,0
3/6/2020,W.P. Kuala Lumpur,5,0,9
3/6/2020,W.P. Labuan,0,0,0
3/6/2020,W.P. Putrajaya,0,0,2
3/7/2020,Johor,2,0,4
3/7/2020,Kedah,0,0,0
3/7/2020,Kelantan,0,0,0
3/7/2020,Melaka,0,0,0
3/7/2020,Negeri Sembilan,0,0,2
3/7/2020,Pahang,0,0,0
3/7/2020,Perak,0,0,0
3/7/2020,Perlis,0,0,0
3/7/2020,Pulau Pinang,0,0,1
3/7/2020,Sabah,0,0,0
3/7/2020,Sarawak,0,0,0
3/7/2020,Selangor,8,0,52
3/7/2020,Terengganu,0,0,0
3/7/2020,W.P. Kuala Lumpur,0,1,8
3/7/2020,W.P. Labuan,0,0,0
3/7/2020,W.P. Putrajaya,0,0,2
3/8/2020,Johor,0,0,4
3/8/2020,Kedah,0,0,0
3/8/2020,Kelantan,0,0,0
3/8/2020,Melaka,0,0,0
3/8/2020,Negeri Sembilan,0,0,2
3/8/2020,Pahang,0,0,0
3/8/2020,Perak,0,0,0
3/8/2020,Perlis,0,0,0
3/8/2020,Pulau Pinang,0,0,1
3/8/2020,Sabah,0,0,0
3/8/2020,Sarawak,0,0,0
3/8/2020,Selangor,6,1,57
3/8/2020,Terengganu,0,0,0
3/8/2020,W.P. Kuala Lumpur,0,0,8
